%entailment_judgment	sentence_A	sentence_B	relatedness_score	pair_ID
NEUTRAL	( ( ( ( ( Two children ) , ) ( who ( are small ) ) ) , ) ( are ( playing ( with ( ( a ( toy car ) ) ( in ( the street ) ) ) ) ) ) )	( ( A father ) ( is ( ( pushing ( his daughter ) ) ( on ( ( ( a go-kart ) and ) ( ( another girl ) ( is watching ) ) ) ) ) ) )	2.2	6849
NEUTRAL	( ( A person ) ( is ( ( cutting ( an onion ) ) ( into pieces ) ) ) )	( ( A person ) ( is ( ( slicing ( a carrot ) ) ( into pieces ) ) ) )	3.4	2385
CONTRADICTION	( ( A man ) ( is ( opening ( a door ) ) ) )	( There ( is ( ( no man ) ( opening ( a door ) ) ) ) )	3.6	5051
NEUTRAL	( ( A person ) ( is ( standing ( near ( a motorcycle ) ) ) ) )	( ( A person ) ( is ( chopping ( an onion ) ) ) )	1.2	1390
NEUTRAL	( ( A ( blond girl ) ) ( is ( looking ( at ( the waves ) ) ) ) )	( ( A lady ) ( is ( ( ( surfing and ) riding ) ( a wave ) ) ) )	3.3	450
NEUTRAL	( ( A woman ) ( is ( ( resting ( her fingers ) ) ( on ( a table ) ) ) ) )	( ( A woman ) ( is ( ( tapping ( her fingers ) ) ( on ( a table ) ) ) ) )	4.1	2229
NEUTRAL	( ( ( A boy ) ( wearing ( a ( striped shirt ) ) ) ) ( is ( ( running barefoot ) ( on ( the ( sandy hill ) ) ) ) ) )	( ( A boy ) ( is ( running ( through ( the sand ) ) ) ) )	3.9	9722
NEUTRAL	( ( An onion ) ( is ( being ( sliced ( by ( a woman ) ) ) ) ) )	( ( The woman ) ( is ( cutting ( a carrot ) ) ) )	2.4	2932
NEUTRAL	( ( ( The rider ) ( dressed ( in orange ) ) ) ( is ( driving ( ( a motorcycle ) ( on ( one wheel ) ) ) ) ) )	( ( ( A man ) ( on ( a ( yellow ( sport bike ) ) ) ) ) ( is ( ( doing ( ( ( a wheelie ) and ) ( a friend ) ) ) ( on ( ( a ( black bike ) ) ( is ( catching up ) ) ) ) ) ) )	2.8	9545
NEUTRAL	( There ( ( is ( no one ) ) ( playing ( a piano ) ) ) )	( ( A man ) ( is ( playing ( a guitar ) ) ) )	2.7	4376
NEUTRAL	( ( ( A group ) ( of ( students ( in uniforms ) ) ) ) ( is ( ( listening attentively ) ( at ( ( the front ) ( of ( the class ) ) ) ) ) ) )	( ( ( A classroom ) ( full ( of students ) ) ) ( is ( ( looking attentively ) ( in ( ( the ( same direction ) ) ( inside ( a ( bamboo structure ) ) ) ) ) ) ) )	2.8	6673
NEUTRAL	( ( A man ) ( is ( ( walking down ) ( a road ) ) ) )	( ( A man ) ( is ( stopping ( in ( ( the middle ) ( of ( a road ) ) ) ) ) ) )	3.2	3855
NEUTRAL	( ( The girl ) ( is ( cheering ( ( the man ) ( in ( the ( blue ( and ( white uniform ) ) ) ) ) ) ) ) )	( ( ( The girl ) ( in ( the ( blue ( and ( white uniform ) ) ) ) ) ) ( is cheering ) )	3.1	882
NEUTRAL	( ( ( A ( young girl ) ) ( with ( painted face ) ) ) ( is ( ( standing next ) ( to ( some ( other children ) ) ) ) ) )	( Children ( are ( ( ( being ( dressed ( in costumes ) ) ) and ) ( playing ( a game ) ) ) ) )	3.1	8313
NEUTRAL	( ( Two people ) ( are ( sitting ( on ( ( a ( park bench ) ) ( on ( a ( hot day ) ) ) ) ) ) ) )	( ( Two people ) ( are ( sitting ( on ( ( a ( park bench ) ) ( on ( a ( sunny day ) ) ) ) ) ) ) )	4.3	8505
NEUTRAL	( ( A ( white man ) ) ( is ( staging ( ( ( a hat ) and ) ( a ( playing guitar ) ) ) ) ) )	( ( ( A man ) ( in ( a ( white hat ) ) ) ) ( is ( ( playing guitar ) ( on stage ) ) ) )	3	6961
